crossover_rate;mutation_rate;Fitness;Time
0.05788735760216546;0.8196927791041801;0.25;668.0657713413239
0.5382367191107668;0.16363655017960477;0.25;294.2836368083954
0.7825466977411997;0.6374482001014358;0.25;284.5813879966736
0.1058853652768964;0.9878207389271404;0.25;455.42023754119873
0.7673830414585979;0.4918547824610997;0.25;214.35993766784668
0.8096929598541415;0.25137333718438115;0.25;415.6052429676056
0.40799828289337936;0.8251877058187268;0.25;324.6490173339844
0.034810289803874905;0.5685175802736552;0.25;517.396436214447
0.3206206067003061;0.0962067856750094;0.25;203.42450380325317
0.8682450504916056;0.5494534644995941;0.25;173.56085872650146
0.26557763061988093;0.29350037409327434;0.25;344.87271642684937
0.6621217919392887;0.005971447579899425;0.25;373.77451372146606
0.5724711199988964;0.5654250510602074;0.25;484.2981171607971
0.927389168092823;0.6421197412731707;0.25;303.64725637435913
0.9252467551453609;0.14484887778713662;0.25;253.1275601387024
0.8572272200234938;0.20379457617997032;0.25;212.99412393569946
0.6026482227882642;0.6564720383421352;0.25;253.36362648010254
0.3972821612507752;0.5430309101238291;0.25;163.2006323337555
0.027746469275098273;0.2129204049108191;0.25;162.9727704524994
0.014873434464895863;0.7598397345331267;0.25;363.84381771087646
