crossover_rate;mutation_rate;Fitness;Time
0.7666123112705951;0.45926828674881537;0.25;354.2923104763031
0.3533767556631615;0.39595115676294224;0.25;253.40285301208496
0.5446217359607466;0.10351451759661334;0.25;263.6668770313263
0.26921949398672596;0.1742989079231153;0.25;203.31632447242737
0.6333857893887135;0.28153973865517823;0.25;263.4826395511627
0.4031796731372829;0.41076880186545073;0.25;354.0076394081116
0.7721330489797852;0.34392742255206815;0.25;675.1639351844788
0.6112873429240094;0.33095462321932434;0.25;243.49947953224182
0.003454515029500893;0.2003542474175286;0.25;173.19540238380432
0.038558367742901944;0.1662250842439162;0.25;213.3972625732422
0.18422493467452428;0.5984835025115985;0.25;273.9468240737915
0.6774321630577308;0.8965110946235252;0.25;253.48769855499268
0.7074533257469795;0.7593429214744546;0.25;395.18611550331116
0.09274341335650865;0.047880210810110346;0.25;173.7088851928711
0.5678718598986078;0.8460525206528903;0.25;344.75846576690674
0.2163160690319409;0.7013583574445403;0.25;748.0835349559784
0.12114339413832087;0.9997946779121982;0.25;646.8321888446808
0.444602924345483;0.9657048952574172;0.25;465.890997171402
0.9235833246561583;0.08719492798313322;0.25;376.0848500728607
0.3319519331041306;0.547015478814244;0.25;314.7921209335327
