Max Iterations;Desired Fitness;Population Size;Elitism Size;Fitness;Best Fitness;Current Iteration;Solution Found At;Max Iterations Found;Stopping Criteria Reached;Time
20;0,000001;28;2;0.058823529411764705;0.058823529411764705;0;19;22;????;2744.118195295334
20;0,000001;32;2;0.058823529411764705;0.058823529411764705;0;2;35;????;2854.9271109104156
20;0,000001;44;2;0.058823529411764705;0.058823529411764705;0;5;19;????;2744.268623352051
20;0,000001;44;2;0.058823529411764705;0.058823529411764705;0;5;19;????;2744.268623352051
20;0,000001;20;4;0.058823529411764705;0.058823529411764705;0;15;22;????;2764.3154673576355
20;0,000001;44;4;0.058823529411764705;0.058823529411764705;0;14;20;????;2704.257440805435
20;0,000001;24;4;0.058823529411764705;0.058823529411764705;0;17;19;????;2774.21102142334
20;0,000001;28;4;0.058823529411764705;0.058823529411764705;0;13;29;????;2885.1091952323914
20;0,000001;36;4;0.058823529411764705;0.058823529411764705;0;18;25;????;2764.715795993805
20;0,000001;16;4;0.058823529411764705;0.058823529411764705;0;8;25;????;2754.3343992233276
20;0,000001;24;4;-1.0;-1.0;0;0;1;????;182.60554718971252
20;0,000001;20;6;0.058823529411764705;0.058823529411764705;0;22;24;????;2774.251439332962
20;0,000001;36;6;0.058823529411764705;0.058823529411764705;0;15;27;????;2704.630086183548
20;0,000001;24;6;0.058823529411764705;0.058823529411764705;0;19;21;????;2706.828282356262
20;0,000001;40;6;0.058823529411764705;0.058823529411764705;0;2;27;????;2755.2514412403107
20;0,000001;24;6;0.058823529411764705;0.058823529411764705;0;2;21;????;2865.2244572639465
20;0,000001;44;6;0.058823529411764705;0.058823529411764705;0;9;24;????;2814.679226875305
20;0,000001;24;6;0.058823529411764705;0.058823529411764705;0;2;21;????;2865.2244572639465
20;0,000001;44;6;0.058823529411764705;0.058823529411764705;0;9;24;????;2814.679226875305
20;0,000001;36;6;0.16666666666666666;0.058823529411764705;0;12;31;????;2734.209775686264
20;0,000001;36;6;0.16666666666666666;0.058823529411764705;0;12;31;????;2734.209775686264
20;0,000001;12;6;-1.0;-1.0;0;0;1;????;172.53618144989014
20;0,000001;24;6;-1.0;-1.0;0;0;2;????;232.66701579093933
20;0,000001;24;6;-1.0;-1.0;0;0;2;????;232.66701579093933
20;0,000001;36;8;0.058823529411764705;0.058823529411764705;0;29;37;????;2874.7999262809753
20;0,000001;44;8;0.058823529411764705;0.058823529411764705;0;17;21;????;2724.4517064094543
