Population Size;Elitism Size;Fitness;Time
16;2;0.07692307692307693;5608.5989100933075
48;2;0.058823529411764705;6421.11656165123
40;2;0.058823529411764705;5808.07737159729
40;2;0.058823529411764705;2843.8608088493347
48;6;0.058823529411764705;2762.541383743286
24;2;0.058823529411764705;2678.895646095276
16;4;0.058823529411764705;2673.9437243938446
44;8;0.058823529411764705;2833.235710144043
44;2;0.058823529411764705;2802.035126686096
40;8;0.058823529411764705;2771.0944085121155
40;6;0.058823529411764705;2720.7701432704926
36;6;0.058823529411764705;2812.153614759445
