crossover_rate;mutation_rate;Fitness;Time
0.45887770070018197;0.8616010051750209;1.0;683.5015754699707
0.7767127920025967;0.2754856992341235;1.0;181.77124047279358
0.352686845968368;0.24236496533433866;1.0;161.73015189170837
0.6457907105316824;0.3341628259989991;1.0;101.48606133460999
0.8063862149769074;0.0050477026766174715;1.0;161.83966255187988
0.27030182518183204;0.7184157627798365;1.0;101.70793533325195
0.6668811517200629;0.5124183144871816;1.0;191.81954503059387
0.611841789226876;0.5939201919274512;1.0;181.755273103714
0.25021791626198026;0.4920319078468677;1.0;181.76139187812805
0.013978206115554004;0.9155691824667275;1.0;171.74431991577148
0.9476915869944003;0.1446124684862503;1.0;161.67409324645996
0.38932017439133;0.4506851495578417;1.0;161.73088431358337
0.5148432842687749;0.8761733062866939;1.0;171.8341841697693
0.18787984250464052;0.656614328455045;1.0;191.8143229484558
0.7448421273967887;0.19750871813216941;1.0;161.6872091293335
0.5728443971918956;0.763603392521212;1.0;181.93149876594543
0.4749202108664136;0.6133378788647739;1.0;161.7117784023285
0.9204479442353618;0.408304679106022;1.0;171.48144388198853
0.5513212671427304;0.8110667267049515;1.0;171.5162193775177
0.06468281721156116;0.38100905902834425;0.058823529411764705;2740.2980749607086
