crossover_rate;mutation_rate;Fitness;Best Fitness;Solution Found At;Max Iterations Found;Time
0.7702114321512706;0.23379923653220847;0.058823529411764705;0.058823529411764705;15;22;2776.855842113495
0.33357784558801323;0.8099203670916773;0.058823529411764705;0.058823529411764705;21;28;2785.4144325256348
0.586786612518621;0.6994177448567511;0.058823529411764705;0.058823529411764705;25;30;2715.6837577819824
0.4774629690575535;0.5717366448951883;0.058823529411764705;0.058823529411764705;10;30;2704.4244000911713
0.4529183792488771;0.6848163427147456;0.058823529411764705;0.058823529411764705;28;30;2744.549318552017
0.7340611111205773;0.48701158269496686;0.058823529411764705;0.058823529411764705;19;31;2744.322418451309
0.3582385114198109;0.4340067993897839;0.058823529411764705;0.058823529411764705;3;26;2753.961140394211
0.410439528629471;0.06241290862132598;0.058823529411764705;0.058823529411764705;23;24;2935.267448425293
0.6624725031613045;0.25609005141203134;0.058823529411764705;0.058823529411764705;20;21;2764.7750232219696
0.626327952323626;0.49509207429766683;0.058823529411764705;0.058823529411764705;13;26;2794.794203042984
0.8433787366177075;0.4303073874907539;0.058823529411764705;0.058823529411764705;20;31;2744.511107444763
0.7622699460495111;0.4555763688570259;0.058823529411764705;0.058823529411764705;8;28;2844.585550069809
0.98724630720291;0.13771297289845225;0.058823529411764705;0.058823529411764705;10;18;2774.3562779426575
0.6717210354075055;0.9867735073885007;0.058823529411764705;0.058823529411764705;19;24;2784.652222633362
0.7069735462136245;0.82346424759761;0.058823529411764705;0.058823529411764705;1;26;2754.0337743759155
0.3257876373492789;0.6423416886154061;0.058823529411764705;0.058823529411764705;21;34;2754.6045417785645
0.20861666802024842;0.748669700541922;0.058823529411764705;0.058823529411764705;24;29;2765.1407282352448
0.12679743424124962;0.7280273642473197;0.058823529411764705;0.058823529411764705;24;33;2774.4474563598633
0.45287842866928585;0.7712987629696982;0.058823529411764705;0.058823529411764705;25;29;2764.8358392715454
0.39564516245904296;0.6742551173723184;0.058823529411764705;0.058823529411764705;27;35;2694.3785767555237
0.8310131979425751;0.09973575341103419;0.058823529411764705;0.058823529411764705;14;20;2750.263486146927
0.10723585688476706;0.8874519495998743;0.058823529411764705;0.058823529411764705;11;26;2694.141814470291
0.9641353008336004;0.037240127398801726;0.058823529411764705;0.058823529411764705;12;22;2732.966348171234
0.7384807885130023;0.7957655570710485;0.058823529411764705;0.058823529411764705;26;27;2763.713812351227
0.2156275383904665;0.14805369726245882;0.058823529411764705;0.058823529411764705;2;23;2734.3218920230865
0.39662910124408624;0.26730833534218745;0.058823529411764705;0.058823529411764705;20;24;2723.7666845321655
0.7091290704378971;0.4608836689889021;0.058823529411764705;0.058823529411764705;21;28;2714.5567972660065
0.6788783339948695;0.39195722670849004;0.058823529411764705;0.058823529411764705;13;27;2734.0204792022705
0.7785366149779739;0.5025211852952559;0.058823529411764705;0.058823529411764705;6;31;2694.1502985954285
