crossover_rate;mutation_rate;Fitness;Solution Found At;Max Iterations;Time
0.12555611070389916;0.46011574054104465;0.25;4;4;1317.671571969986
0.824979130155894;0.8826184128859731;0.25;1;1;82.33868265151978
0.8697711427924588;0.22462259172542653;0.25;2;2;92.06857824325562
0.3773508477411598;0.5361623549145308;0.25;3;3;122.49344658851624
0.9178763175149002;0.572430495324362;0.25;2;2;102.17128825187683
0.5147740952325021;0.07230208340478372;0.25;4;4;112.38059425354004
0.7999524953155424;0.8037004084436519;0.25;2;2;112.00876021385193
0.07321458614514786;0.5930584555816906;0.25;4;4;142.275883436203
0.4281386932898943;0.7152613239510115;0.25;5;5;182.54223918914795
0.022477856588450917;0.3908626401689127;0.25;21;21;413.5935196876526
0.5358356683430376;0.05457803841368014;0.25;3;3;102.39339780807495
0.5825719653515216;0.5636084989274812;0.25;9;9;262.9337549209595
0.7023976717062715;0.714621085151527;0.25;2;2;112.1500997543335
0.10676137807942465;0.5824409960354539;0.25;12;12;313.4254004955292
0.5662396310966641;0.07386976722792715;0.25;3;3;92.01470017433167
0.31399373786386553;0.37167522390873076;0.25;4;4;122.04520773887634
0.4490440238951773;0.8971033897934196;0.25;4;4;162.3695137500763
0.13418489103475661;0.977888017539638;0.25;3;3;182.46784853935242
0.8818017806818237;0.3068046321605177;0.25;4;4;292.98831248283386
0.2717760528937099;0.06306299852864206;0.25;8;8;152.46596884727478
0.5898127533873653;0.07394039961837784;0.25;3;3;92.06447887420654
0.24809067670411034;0.3767172011414839;0.25;6;6;152.27081632614136
0.8950158488577641;0.9261634165367992;0.25;6;6;232.5481572151184
0.11525394862146299;0.9092034066046787;0.25;2;2;112.44374418258667
0.33623085888525084;0.17348697810745028;0.25;10;10;192.6707592010498
0.21594250662205128;0.04254991840695743;0.25;4;4;102.0960750579834
0.5928015593846456;0.8242942697049016;0.25;2;2;112.26490473747253
0.7007329701027116;0.16527659537939465;0.25;2;2;92.12849259376526
0.1660597430674835;0.15085032237018303;0.25;6;6;142.41719770431519
0.01636199222101009;0.2447556224841574;0.25;2;2;81.96530938148499
0.9759835314146779;0.36460044173812767;0.25;8;8;232.75534057617188
0.8092103419344701;0.14276651668614582;0.25;2;2;92.0431022644043
0.3462180259695006;0.7731811559752351;0.25;3;3;132.0490527153015
0.5094626111532451;0.8540868839649836;0.25;2;2;112.2647876739502
0.456769104796934;0.47698658437729846;0.25;2;2;102.26287531852722
0.7399383477342181;0.32319579828144385;0.25;11;11;262.6825258731842
0.4010877250479712;0.1322133718912072;0.25;2;2;82.05776619911194
0.057021106070390126;0.336323212208145;0.25;5;5;132.26696681976318
0.008458580982724895;0.2998806079091101;0.25;5;5;152.39142537117004
0.4756643105233367;0.8764383363356112;0.25;2;2;112.23432922363281
0.857569409344783;0.4625485902123786;0.25;16;16;403.69223380088806
0.86353720194557;0.6326884744580497;0.25;6;6;192.63771891593933
0.00017839370982042357;0.39343106724914656;0.25;14;14;303.33070158958435
0.5464809152428328;0.758964318142891;0.25;5;5;182.56848883628845
0.491685155715607;0.537280835220316;0.25;3;3;122.5481812953949
0.3222875713649552;0.9769165523247774;0.25;4;4;172.58732771873474
0.072379707474173;0.8532464717414874;0.25;4;4;162.41852068901062
0.8591348005522459;0.6378087855751103;0.25;6;6;202.81268858909607
0.007437068949499026;0.2679490587875596;0.25;2;2;82.10733079910278
0.7235817169368732;0.665021520950316;0.25;5;5;182.5025453567505
0.9066157009621518;0.7202686397817611;0.25;6;6;202.39701557159424
0.11497216243271513;0.23103873470686775;0.25;2;2;81.96460270881653
0.7486649351690312;0.8163003599709103;0.25;5;5;192.63377261161804
0.42199311797596883;0.38354420590477345;0.25;6;6;172.61553359031677
0.0734371916487393;0.6062842794585376;0.25;12;12;312.8944056034088
0.5269732370930044;0.4828355974375259;0.25;2;2;102.2227475643158
0.28714241124613615;0.8671040193335713;0.25;2;2;112.27714276313782
0.31072514797573136;0.002831941235480806;0.25;2;2;82.15125751495361
0.23762791854626264;0.2314939540642148;0.25;3;3;92.14828085899353
0.8590793219267632;0.00030345654797092614;0.25;4;4;122.08661961555481
0.987276779851314;0.16189947779620895;0.25;3;3;112.15008449554443
0.6558716852409714;0.12446152230517793;0.25;2;2;81.90634441375732
0.8820785513117742;0.26018818565170576;0.25;2;2;92.35453629493713
0.11567981751165624;0.5502846943055584;0.25;5;5;162.32892179489136
0.04551059070592922;0.6931732175143871;0.25;1;1;81.92085576057434
0.6650202357800071;0.0754957651027266;0.25;4;4;112.14929175376892
0.618795316033655;0.47523570238236956;0.25;2;2;102.14503598213196
0.8103797282191597;0.049254130623392456;0.25;4;4;112.32883810997009
0.8977256364817705;0.6831048750796054;0.25;3;3;132.02912282943726
0.1697812586697348;0.6757651510580548;0.25;3;3;122.21313452720642
0.4020356865089867;0.6127948869144085;0.25;8;8;222.5940215587616
0.17246138469845962;0.05920275214907744;0.25;2;2;81.83241939544678
0.41221955022190915;0.3639727128652549;0.25;4;4;122.25604128837585
0.5417931117777126;0.8998952678716181;0.25;10;10;333.3033096790314
0.536489434245863;0.35161020152423716;0.25;2;2;101.83921909332275
0.17629800553643427;0.7420997565780627;0.25;4;4;162.63486051559448
0.20115471484432768;0.0033223200760489346;0.25;2;2;81.96641182899475
0.851851035330137;0.8320718761997209;0.25;2;2;112.33797717094421
0.9761697591609125;0.8702767054485022;0.25;7;7;252.91611051559448
0.20820910319486285;0.6378501122361959;0.25;6;6;202.6955966949463
0.5547096780999157;0.746535581734964;0.25;5;5;192.63920068740845
0.4071737630403224;0.9741458527490676;0.25;4;4;172.2984652519226
0.3030970308581805;0.9524212250685975;0.25;1;1;92.05279445648193
0.8684625304332979;0.830591511156082;0.25;2;2;112.12895059585571
0.24280521039629965;0.6517338588097868;0.25;11;11;313.24245429039
0.7231115690466812;0.6624636530122704;0.25;5;5;182.34727692604065
0.9285393908548466;0.4211697252708063;0.25;4;4;142.14447855949402
0.449487840185288;0.40380524681727026;0.25;15;15;333.1959638595581
0.8959614621636015;0.8167635197580555;0.25;2;2;112.11125898361206
0.7198983277456262;0.7707442384946566;0.25;5;5;192.42652320861816
0.5041480134135936;0.11248114211220528;0.25;2;2;82.06113409996033
0.08096598509511577;0.6311155197415619;0.25;2;2;102.13813614845276
0.7462663500941568;0.9157248065299459;0.25;3;3;142.31094646453857
0.1778261720508103;0.17454051090819012;0.25;2;2;81.84590125083923
0.09111870351194173;0.6118843119162607;0.25;5;5;162.42914485931396
0.7981547813504987;0.9991359485690432;0.25;2;2;122.19299697875977
0.685747786563517;0.5151266662814006;0.25;15;15;403.9131295681
0.6669201592938379;0.3515284535484611;0.25;2;2;102.19501042366028
0.8912622378903623;0.26387679847659073;0.25;2;2;92.12116527557373
0.8281622204611901;0.4714620769257607;0.25;6;6;192.36474323272705
0.5860034525100757;0.1165804803111149;0.25;2;2;92.03528666496277
0.9290054625874714;0.969990909331532;0.25;2;2;112.13239693641663
0.5782406816710458;0.2601228873524246;0.25;5;5;142.3411364555359
0.6898512360518535;0.8069167926722205;0.25;9;9;292.89909315109253
0.9479660722242144;0.7383585287840909;0.25;3;3;131.9682114124298
0.9860724996147676;0.29669959989174066;0.25;4;4;142.29666185379028
0.9591912468224506;0.4313380163298083;0.25;4;4;152.23079824447632
0.5714325271233589;0.8843520232439812;0.25;6;6;222.61912775039673
0.6065759120482682;0.45185951754275344;0.25;2;2;102.18186545372009
0.29599491210886897;0.7693531003265641;0.25;7;7;232.81654977798462
0.452032136031274;0.857824683095646;0.25;2;2;112.35741138458252
0.5146849805982437;0.9052501254811868;0.25;4;4;162.4929325580597
0.021664170431515473;0.4237169899061314;0.25;5;5;162.38749527931213
0.5424171191234853;0.9746391628561636;0.25;3;3;142.5235559940338
0.7461104930416081;0.7739318160190826;0.25;5;5;192.74343419075012
0.6159888291406598;0.7423541670607748;0.25;8;8;252.84981989860535
0.9944345141436719;0.7802075859034205;0.25;4;4;162.50010013580322
0.8800513389261722;0.7928610082625082;0.25;2;2;112.10605311393738
0.6621485457846562;0.7587816012951536;0.25;5;5;182.54886412620544
0.46953082515312083;0.04709738020644427;0.25;3;3;92.06995558738708
0.09763437216948845;0.3228206283482614;0.25;5;5;132.39884305000305
0.3549844672665101;0.09456044084261594;0.25;4;4;102.2012288570404
0.6184655261945209;0.9828581625359665;0.25;4;4;172.54601216316223
0.5608906165479822;0.4438019934042676;0.25;2;2;102.2459807395935
0.7888392673004287;0.7604417398814629;0.25;2;2;112.2644784450531
0.6053186618394601;0.14590425427348452;0.25;2;2;92.15482115745544
0.1745082552716234;0.05921625715544998;0.25;2;2;81.90002870559692
0.07378527491635489;0.2955232184914036;0.25;4;4;122.29873871803284
0.7730136105346189;0.6697065713097555;0.25;5;5;182.54209661483765
0.4762148982025922;0.8597294954032056;0.25;2;2;112.2276976108551
0.034085402375944485;0.9404870288615604;0.25;3;3;142.44957780838013
0.8032183149815941;0.7068441613878443;0.25;2;2;112.27911734580994
0.851150288273325;0.5027726174288087;0.25;4;4;142.53694009780884
0.053077071159336464;0.304536165245753;0.25;2;2;92.08565497398376
0.8694392734216727;0.7332532335761578;0.25;2;2;112.3126609325409
0.51204914531338;0.32856939980329025;0.25;2;2;102.38563132286072
0.0011957452223976262;0.14628998404741433;0.25;3;3;91.90018463134766
0.9554877864886473;0.18448667417425946;0.25;2;2;102.22640180587769
0.26915389727092254;0.44980238654520066;0.25;2;2;102.30866956710815
0.9568053415506674;0.11564799006712245;0.25;5;5;152.17083764076233
0.7159193131746646;0.5314867900796714;0.25;6;6;202.73394012451172
0.31061439161551085;0.15716547567228512;0.25;8;8;162.5161361694336
0.8791559579536583;0.8677820455218931;0.25;1;1;81.96184492111206
0.3707880430564059;0.7963760105952074;0.25;3;3;142.45055747032166
0.5479054519970459;0.3862089388592759;0.25;6;6;172.35546731948853
0.5566383144298995;0.8341875377978419;0.25;2;2;112.36282706260681
0.5088140283661113;0.7290078741208957;0.25;2;2;102.15554976463318
0.44423017609166515;0.8968246091480147;0.25;4;4;172.3328537940979
0.8727494877256264;0.8343400034691945;0.25;1;1;92.24963068962097
0.010808627460234144;0.489481671198858;0.25;3;3;112.06935429573059
0.4114260310483884;0.8912604665300107;0.25;4;4;172.4874243736267
0.1809713659670329;0.1903561169901019;0.25;2;2;82.18459010124207
0.3601759370866511;0.2813435890536119;0.25;5;5;122.22988200187683
0.26285891960819585;0.7286996059306928;0.25;7;7;232.60840725898743
0.7764514944948071;0.23624797655011343;0.25;2;2;102.16417956352234
0.21659463494839992;0.25645365295242306;0.25;5;5;132.26886796951294
0.9639667994660148;0.3524516892253057;0.25;3;3;132.30979371070862
0.33775895353493923;0.11093329433130328;0.25;3;3;92.04825472831726
0.11624994936685695;0.5508715803229213;0.25;4;4;142.1005027294159
0.7266591661856986;0.4125498605055926;0.25;3;3;112.23483467102051
0.41683625129399016;0.9467229570510989;0.25;4;4;172.258367061615
0.40853888939454575;0.7994029850847278;0.25;4;4;162.468510389328
0.2761999949286106;0.9684524208619197;0.25;1;1;92.1002824306488
0.18067745080493058;0.2962576594687666;0.25;4;4;112.26822447776794
0.39188018708261796;0.6762178116900821;0.25;7;7;222.50679874420166
0.8240393874712358;0.05621022526501673;0.25;15;15;273.1183223724365
0.7950654787664728;0.4216721449651982;0.25;7;7;202.7118809223175
0.18882081077445212;0.7800204106356838;0.25;8;8;263.13838028907776
0.510620370726096;0.27546087495935667;0.25;4;4;132.25579714775085
0.19339682872497754;0.013362289801526206;0.25;6;6;122.29029488563538
0.6950490341509732;0.5695751325869146;0.25;2;2;102.19209265708923
0.13719636888270992;0.44095402804354955;0.25;2;2;102.01876425743103
0.05465343193124372;0.4976760758360469;0.25;3;3;112.24484968185425
0.9939414923705805;0.9779485265883996;0.25;4;4;172.4191336631775
0.32199783323118514;0.20369127069049053;0.25;4;4;122.22286009788513
0.052418986487205665;0.6554816396271351;0.25;3;3;132.25122547149658
0.051093119585865376;0.013187042892228273;0.25;3;3;92.13126850128174
0.9287639575006464;0.9216994822160125;0.25;2;2;121.98036170005798
0.8943810572834173;0.9159236723703849;0.25;2;2;112.01823544502258
0.42543988806459765;0.15026530763574175;0.25;4;4;112.26179218292236
0.4292313566567715;0.38215721338221964;0.25;16;16;363.1975407600403
0.9243179889751165;0.6634209873477203;0.25;3;3;132.08542037010193
0.03957506600630156;0.7725970125866118;0.25;1;1;81.8825523853302
0.03733911384747812;0.25782087501876216;0.25;2;2;81.97828245162964
0.8631498769062538;0.9441772562251393;0.25;7;7;262.7058222293854
0.5827023102604558;0.137604167427399;0.25;2;2;92.13339114189148
0.7534275813022553;0.9503191233743341;0.25;4;4;172.5632448196411
0.9004210492545406;0.7426152820166103;0.25;7;7;232.92162990570068
0.05124872000533165;0.852916234740554;0.25;6;6;212.71367645263672
0.7826847804354675;0.4668866918001605;0.25;5;5;162.38464617729187
0.4534807351411715;0.6181762423580245;0.25;3;3;132.18749475479126
0.052787772812164624;0.10839236533654362;0.25;3;3;92.05661702156067
0.03254974901338292;0.6684649299591755;0.25;3;3;132.09495067596436
0.4255852094724545;0.8886577666996628;0.25;4;4;172.51175951957703
0.9006729187831028;0.016123838710635163;0.25;3;3;101.9622368812561
0.5818822283028648;0.19426576591245293;0.25;10;10;222.61020064353943
0.034486729895892854;0.5132044156368606;0.25;21;21;463.6895043849945
0.9433572796686952;0.32581210617933554;0.25;8;8;222.4539451599121
0.02686128287499845;0.9299671160290037;0.25;3;3;142.30149245262146
0.3340239652966227;0.37584537199459644;0.25;4;4;122.27443838119507
